Variable: levgrnd  , Process: FrameworkAll , DataType: float32 , Dimensions: ('levgrnd',) 
Variable: levlak  , Process: FrameworkAll , DataType: float32 , Dimensions: ('levlak',) 
Variable: levdcmp  , Process: FrameworkAll , DataType: float32 , Dimensions: ('levdcmp',) 
Variable: time  , Process: TimeIndex , DataType: float32 , Dimensions: ('time',) 
Variable: mcdate  , Process: TimeAll , DataType: int32 , Dimensions: ('time',) 
Variable: mcsec  , Process: TimeAll , DataType: int32 , Dimensions: ('time',) 
Variable: mdcur  , Process: TimeAll , DataType: int32 , Dimensions: ('time',) 
Variable: mscur  , Process: TimeAll , DataType: int32 , Dimensions: ('time',) 
Variable: nstep  , Process: TimeAll , DataType: int32 , Dimensions: ('time',) 
Variable: time_bounds  , Process: TimeAll , DataType: float64 , Dimensions: ('time', 'hist_interval') 
Variable: date_written  , Process: TimeAll , DataType: |S1 , Dimensions: ('time', 'string_length') 
Variable: time_written  , Process: TimeAll , DataType: |S1 , Dimensions: ('time', 'string_length') 
Variable: lon  , Process: FrameworkGlobal , DataType: float32 , Dimensions: ('lon',) 
Variable: lat  , Process: FrameworkGlobal , DataType: float32 , Dimensions: ('lat',) 
Variable: area  , Process: FrameworkGlobal , DataType: float32 , Dimensions: ('lat', 'lon') 
Variable: landfrac  , Process: FrameworkGlobal , DataType: float32 , Dimensions: ('lat', 'lon') 
Variable: landmask  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('lat', 'lon') 
Variable: pftmask  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('lat', 'lon') 
Variable: nbedrock  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('lat', 'lon') 
Variable: grid1d_lon  , Process: FrameworkGlobal , DataType: float64 , Dimensions: ('gridcell',) 
Variable: grid1d_lat  , Process: FrameworkGlobal , DataType: float64 , Dimensions: ('gridcell',) 
Variable: grid1d_ixy  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('gridcell',) 
Variable: grid1d_jxy  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('gridcell',) 
Variable: land1d_lon  , Process: FrameworkGlobal , DataType: float64 , Dimensions: ('landunit',) 
Variable: land1d_lat  , Process: FrameworkGlobal , DataType: float64 , Dimensions: ('landunit',) 
Variable: land1d_ixy  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('landunit',) 
Variable: land1d_jxy  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('landunit',) 
Variable: land1d_wtgcell  , Process: FilevalueGlobal , DataType: float64 , Dimensions: ('landunit',) 
Variable: land1d_ityplunit  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('landunit',) 
Variable: land1d_active  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('landunit',) 
Variable: cols1d_lon  , Process: FrameworkGlobal , DataType: float64 , Dimensions: ('column',) 
Variable: cols1d_lat  , Process: FrameworkGlobal , DataType: float64 , Dimensions: ('column',) 
Variable: cols1d_ixy  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('column',) 
Variable: cols1d_jxy  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('column',) 
Variable: cols1d_wtgcell  , Process: FilevalueGlobal , DataType: float64 , Dimensions: ('column',) 
Variable: cols1d_wtlunit  , Process: FilevalueGlobal , DataType: float64 , Dimensions: ('column',) 
Variable: cols1d_itype_col  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('column',) 
Variable: cols1d_itype_lunit  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('column',) 
Variable: cols1d_active  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('column',) 
Variable: pfts1d_lon  , Process: FrameworkGlobal , DataType: float64 , Dimensions: ('pft',) 
Variable: pfts1d_lat  , Process: FrameworkGlobal , DataType: float64 , Dimensions: ('pft',) 
Variable: pfts1d_ixy  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('pft',) 
Variable: pfts1d_jxy  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('pft',) 
Variable: pfts1d_wtgcell  , Process: FilevalueGlobal , DataType: float64 , Dimensions: ('pft',) 
Variable: pfts1d_wtlunit  , Process: FilevalueGlobal , DataType: float64 , Dimensions: ('pft',) 
Variable: pfts1d_wtcol  , Process: FilevalueGlobal , DataType: float64 , Dimensions: ('pft',) 
Variable: pfts1d_itype_veg  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('pft',) 
Variable: pfts1d_itype_col  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('pft',) 
Variable: pfts1d_itype_lunit  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('pft',) 
Variable: pfts1d_active  , Process: FrameworkGlobal , DataType: int32 , Dimensions: ('pft',) 
Variable: DEADCROOTC  , Process: TimeSeries , DataType: float32 , Dimensions: ('time', 'landunit') 
Variable: FROOTC  , Process: TimeSeries , DataType: float32 , Dimensions: ('time', 'landunit') 
Variable: LIVECROOTC  , Process: TimeSeries , DataType: float32 , Dimensions: ('time', 'landunit') 
Variable: TOTECOSYSC  , Process: TimeSeries , DataType: float32 , Dimensions: ('time', 'landunit') 
Variable: TOTLITC  , Process: TimeSeries , DataType: float32 , Dimensions: ('time', 'landunit') 
Variable: TOTSOMC  , Process: TimeSeries , DataType: float32 , Dimensions: ('time', 'landunit') 
Variable: TOTSOMC_1m  , Process: TimeSeries , DataType: float32 , Dimensions: ('time', 'landunit') 
Variable: TOTVEGC  , Process: TimeSeries , DataType: float32 , Dimensions: ('time', 'landunit') 
Variable: WOODC  , Process: TimeSeries , DataType: float32 , Dimensions: ('time', 'landunit') 
